,Residence,Age,Class_Time,Class_Rating,Class_Medium,Self_Study_Time,Fitness_Time,Sleep_Time,Social_Media_Time,Social_Media_Platform,TV_Time,Meals_Number,Weight_Change,Health_Issue,Stress_Busters,Time_Utilized,Miss,More_Social_connection,Total_studying_time,Total_resting_time
47,Delhi-NCR,25,4,Poor,Laptop/Desktop,4,0,6,1,Instagram,0,2,0,NO,ONLINE ACTIVITIES,YES,SOCIALIZE,NO,8,8
48,Delhi-NCR,20,3,Poor,Laptop/Desktop,4,1,8,1,Instagram,2,4,0,NO,REST,YES,BEING OUTSIDE,YES,7,12
49,Delhi-NCR,20,0,Poor,Laptop/Desktop,2,1,6,5,Instagram,0,1,2,NO,OTHERS,NO,SOCIALIZE,YES,2,12
50,Delhi-NCR,20,2,Poor,Laptop/Desktop,0,1,8,2,Instagram,0,3,0,NO,ONLINE ACTIVITIES,NO,SCHOOL/WORK,YES,2,11
51,Delhi-NCR,25,2,Poor,Smartphone,1,1,7,5,Instagram,1,4,1,NO,MUSIC,YES,BEING OUTSIDE,YES,3,14
52,Delhi-NCR,20,4,Poor,Smartphone,4,2,7,2,Instagram,1,3,0,NO,MUSIC,NO,BEING OUTSIDE,YES,8,12
53,Delhi-NCR,20,3,Poor,Smartphone,1,1,8,3,Whatsapp,0,4,2,NO,EXERCISE,YES,BEING OUTSIDE,YES,4,12
54,Delhi-NCR,20,1,Poor,Smartphone,3,2,9,1,Youtube,1,2,1,YES,REST,NO,TRAVELLING,YES,4,13
55,Delhi-NCR,20,2,Poor,Tablet,2,1,8,5,Instagram,0,4,1,NO,ONLINE ACTIVITIES,NO,BEING OUTSIDE,YES,4,14
56,Outside Delhi-NCR,20,2,Poor,Smartphone,3,1,6,2,Instagram,1,4,0,NO,MUSIC,NO,TRAVELLING,NO,5,10
57,Delhi-NCR,25,4,Poor,Smartphone,4,0,7,2,Whatsapp,0,1,0,NO,INDOOR ACTIVITIES,NO,BEING OUTSIDE,NO,8,9
58,Delhi-NCR,20,2,Poor,Smartphone,2,0,7,3,Whatsapp,2,2,2,NO,READING,NO,SOCIALIZE,NO,4,12
59,Delhi-NCR,20,1,Poor,Laptop/Desktop,0,1,7,5,Instagram,2,3,2,NO,OTHERS,NO,SOCIALIZE,YES,2,14
60,Delhi-NCR,20,3,Poor,Smartphone,2,2,8,5,Instagram,0,4,2,NO,MUSIC,NO,SCHOOL/WORK,YES,5,14
61,Outside Delhi-NCR,20,3,Poor,Smartphone,4,0,6,4,Others,0,2,0,YES,MUSIC,YES,BEING OUTSIDE,NO,7,10
62,Delhi-NCR,20,0,Poor,Smartphone,1,1,8,2,Instagram,0,3,1,NO,MUSIC,YES,SCHOOL/WORK,YES,2,11
63,Delhi-NCR,20,3,Poor,Laptop/Desktop,3,0,9,5,Others,3,3,0,NO,ONLINE ACTIVITIES,NO,SCHOOL/WORK,NO,6,14
64,Delhi-NCR,25,4,Poor,Laptop/Desktop,4,0,8,5,Instagram,1,2,0,YES,ONLINE ACTIVITIES,NO,SOCIALIZE,YES,8,14
65,Delhi-NCR,20,2,Poor,Smartphone,2,1,9,3,Instagram,1,2,0,NO,INDOOR ACTIVITIES,YES,SCHOOL/WORK,YES,4,14
66,Delhi-NCR,20,0,Poor,Laptop/Desktop,1,1,9,2,Instagram,2,2,0,NO,INDOOR ACTIVITIES,NO,BEING OUTSIDE,YES,2,14
67,Outside Delhi-NCR,25,1,Poor,Smartphone,4,0,9,1,Whatsapp,0,3,1,NO,REST,YES,SCHOOL/WORK,YES,5,10
68,Delhi-NCR,20,2,Poor,Tablet,2,1,8,5,Instagram,0,4,1,NO,ONLINE ACTIVITIES,NO,BEING OUTSIDE,YES,4,14
69,Delhi-NCR,20,4,Poor,Smartphone,3,1,7,1,Instagram,0,3,0,YES,WRITING,YES,SCHOOL/WORK,YES,7,9
70,Outside Delhi-NCR,25,4,Poor,Smartphone,3,1,8,1,Others,0,3,1,NO,REST,NO,ALL,NO,7,10
71,Delhi-NCR,20,3,Poor,Smartphone,4,1,7,1,Whatsapp,0,4,2,YES,MUSIC,NO,BEING OUTSIDE,NO,7,9
72,Outside Delhi-NCR,20,4,Poor,Smartphone,3,1,7,3,Instagram,2,3,0,NO,MUSIC,YES,SCHOOL/WORK,YES,7,13
73,Outside Delhi-NCR,25,4,Poor,Smartphone,3,1,7,1,Instagram,0,3,2,YES,EXERCISE,NO,BEING OUTSIDE,NO,7,9
74,Delhi-NCR,20,0,Poor,Smartphone,4,1,8,1,Whatsapp,0,3,0,NO,MUSIC,NO,SCHOOL/WORK,YES,4,10
75,Delhi-NCR,20,4,Poor,Laptop/Desktop,0,0,8,2,Instagram,1,3,0,YES,READING,NO,SCHOOL/WORK,NO,4,11
76,Delhi-NCR,20,2,Poor,Smartphone,3,1,6,4,Instagram,1,3,0,NO,MUSIC,NO,SCHOOL/WORK,YES,5,12
77,Delhi-NCR,20,3,Poor,Smartphone,1,0,9,4,Whatsapp,0,3,2,NO,MUSIC,NO,SCHOOL/WORK,YES,4,13
78,Delhi-NCR,25,2,Poor,Smartphone,0,0,9,4,Instagram,2,3,0,NO,INDOOR ACTIVITIES,NO,BEING OUTSIDE,YES,2,14
79,Delhi-NCR,25,1,Poor,Smartphone,2,1,8,1,Whatsapp,0,3,0,NO,MUSIC,NO,SCHOOL/WORK,NO,3,10
80,Outside Delhi-NCR,20,4,Poor,Smartphone,2,2,7,2,Youtube,1,3,2,NO,ONLINE ACTIVITIES,YES,TRAVELLING,YES,6,12
81,Outside Delhi-NCR,25,3,Poor,Laptop/Desktop,4,0,8,5,Others,1,2,2,NO,ONLINE ACTIVITIES,NO,SCHOOL/WORK,YES,7,14
82,Outside Delhi-NCR,25,4,Poor,Smartphone,4,1,7,1,Whatsapp,0,4,1,YES,MUSIC,YES,TRAVELLING,NO,8,9
83,Outside Delhi-NCR,20,3,Poor,Smartphone,3,1,7,3,Youtube,1,2,2,NO,MUSIC,NO,SOCIALIZE,NO,6,12
84,Delhi-NCR,25,2,Poor,Smartphone,4,2,8,0,Instagram,0,4,0,NO,READING,YES,BEING OUTSIDE,YES,6,10
85,Delhi-NCR,20,2,Poor,Smartphone,1,1,7,2,Youtube,0,2,2,NO,MUSIC,NO,SCHOOL/WORK,NO,3,10
86,Delhi-NCR,20,1,Poor,Smartphone,2,1,8,1,Instagram,0,3,0,NO,MUSIC,NO,SCHOOL/WORK,NO,3,10
87,Delhi-NCR,20,2,Poor,Smartphone,3,1,8,1,Instagram,1,3,1,NO,MUSIC,YES,BEING OUTSIDE,YES,5,11
88,Outside Delhi-NCR,20,0,Poor,Smartphone,2,2,8,0,Others,0,2,1,NO,SOCIALIZE,YES,SCHOOL/WORK,YES,2,10
89,Delhi-NCR,25,3,Poor,Smartphone,3,0,9,2,Whatsapp,0,2,0,YES,REST,NO,SCHOOL/WORK,YES,6,11
90,Delhi-NCR,20,1,Poor,Smartphone,4,1,8,1,Youtube,0,4,2,NO,REST,NO,SCHOOL/WORK,YES,5,10
91,Outside Delhi-NCR,15,4,Poor,Laptop/Desktop,4,1,7,4,Instagram,1,4,0,NO,ONLINE ACTIVITIES,NO,SOCIALIZE,NO,8,13
92,Delhi-NCR,20,2,Poor,Smartphone,3,1,9,2,Whatsapp,0,3,2,NO,INDOOR ACTIVITIES,NO,SCHOOL/WORK,YES,5,12
93,Delhi-NCR,20,3,Poor,Smartphone,4,0,7,3,Youtube,1,3,2,NO,READING,YES,SCHOOL/WORK,NO,7,11
94,Delhi-NCR,20,2,Poor,Smartphone,4,1,6,1,Instagram,0,3,0,NO,ONLINE ACTIVITIES,NO,SCHOOL/WORK,YES,6,8
95,Delhi-NCR,20,2,Poor,Smartphone,2,1,8,1,Youtube,0,4,2,NO,MUSIC,NO,TRAVELLING,YES,4,10
96,Outside Delhi-NCR,25,4,Poor,Laptop/Desktop,4,1,6,1,Others,0,3,2,NO,REST,YES,SCHOOL/WORK,YES,8,8
97,Outside Delhi-NCR,25,4,Poor,Smartphone,4,1,8,1,Youtube,0,3,2,NO,REST,YES,SOCIALIZE,YES,8,10
98,Delhi-NCR,20,4,Poor,Smartphone,3,0,9,5,Whatsapp,0,3,0,NO,ONLINE ACTIVITIES,YES,BEING OUTSIDE,NO,7,14
99,Delhi-NCR,20,1,Poor,Smartphone,2,0,7,1,Whatsapp,0,2,0,YES,REST,NO,SCHOOL/WORK,NO,3,8
100,Outside Delhi-NCR,20,4,Poor,Smartphone,4,1,7,2,Whatsapp,1,3,0,NO,REST,YES,SCHOOL/WORK,YES,8,11
101,Delhi-NCR,20,2,Poor,Smartphone,3,1,6,1,Whatsapp,0,3,2,NO,MUSIC,YES,BEING OUTSIDE,YES,5,8
102,Delhi-NCR,20,2,Poor,Smartphone,4,1,8,2,Youtube,0,4,1,NO,WRITING,NO,BEING OUTSIDE,NO,6,11
103,Outside Delhi-NCR,20,3,Poor,Smartphone,3,0,9,2,Youtube,2,2,1,NO,REST,YES,TRAVELLING,YES,6,13
104,Delhi-NCR,20,4,Poor,Laptop/Desktop,4,1,8,1,Youtube,1,2,2,NO,MUSIC,NO,SCHOOL/WORK,YES,8,11
105,Delhi-NCR,20,2,Poor,Smartphone,2,1,9,2,Others,2,2,0,NO,ONLINE ACTIVITIES,YES,TRAVELLING,YES,4,14
106,Delhi-NCR,20,2,Poor,Smartphone,4,0,9,4,Whatsapp,2,3,1,NO,INDOOR ACTIVITIES,NO,SCHOOL/WORK,YES,6,14
107,Delhi-NCR,20,4,Poor,Smartphone,1,1,8,1,Youtube,0,4,0,NO,REST,YES,BEING OUTSIDE,YES,5,10
108,Delhi-NCR,25,0,Poor,Smartphone,2,1,9,0,Youtube,0,4,0,NO,INDOOR ACTIVITIES,NO,SOCIALIZE,YES,2,10
109,Delhi-NCR,20,3,Poor,Smartphone,4,1,7,2,Youtube,0,3,2,NO,INDOOR ACTIVITIES,NO,BEING OUTSIDE,YES,7,10
110,Delhi-NCR,15,4,Poor,Smartphone,2,1,6,1,Whatsapp,1,3,2,NO,EXERCISE,NO,BEING OUTSIDE,YES,6,9
111,Outside Delhi-NCR,25,1,Poor,Laptop/Desktop,4,1,7,1,Whatsapp,0,3,2,NO,WRITING,YES,BEING OUTSIDE,YES,5,9
112,Delhi-NCR,20,3,Poor,Laptop/Desktop,2,1,9,1,Youtube,0,3,1,NO,INDOOR ACTIVITIES,NO,SCHOOL/WORK,YES,5,11
113,Delhi-NCR,20,3,Poor,Smartphone,4,0,7,2,Instagram,1,2,2,YES,ONLINE ACTIVITIES,YES,SCHOOL/WORK,YES,7,10
114,Outside Delhi-NCR,20,3,Poor,Smartphone,3,0,9,2,Youtube,2,2,1,NO,REST,YES,TRAVELLING,YES,6,13
115,Delhi-NCR,20,1,Poor,Smartphone,1,0,6,0,Others,0,2,0,NO,REST,YES,SCHOOL/WORK,YES,2,8
116,Delhi-NCR,20,2,Poor,Smartphone,4,1,7,1,Youtube,1,2,0,NO,MUSIC,YES,SOCIALIZE,YES,6,10
117,Delhi-NCR,20,2,Poor,Smartphone,2,2,8,2,Youtube,3,2,0,NO,ONLINE ACTIVITIES,YES,BEING OUTSIDE,YES,4,14
118,Outside Delhi-NCR,15,4,Poor,Smartphone,2,1,8,2,Whatsapp,1,3,2,NO,MUSIC,YES,SOCIALIZE,NO,6,12
119,Delhi-NCR,20,4,Poor,Laptop/Desktop,1,1,6,1,Others,0,3,0,YES,SOCIALIZE,YES,SCHOOL/WORK,YES,5,8
120,Delhi-NCR,20,3,Poor,Laptop/Desktop,2,1,8,2,Others,2,3,2,NO,MUSIC,NO,BEING OUTSIDE,NO,5,13
121,Delhi-NCR,20,4,Poor,Smartphone,3,0,7,2,Whatsapp,0,2,0,YES,INDOOR ACTIVITIES,NO,SOCIALIZE,YES,7,9
122,Delhi-NCR,20,1,Poor,Laptop/Desktop,1,1,9,1,Instagram,0,3,2,NO,MUSIC,YES,BEING OUTSIDE,YES,2,11
123,Delhi-NCR,20,2,Poor,Smartphone,2,1,9,2,Whatsapp,0,3,2,NO,MUSIC,NO,BEING OUTSIDE,NO,4,12
124,Outside Delhi-NCR,25,4,Poor,Smartphone,4,1,8,2,Instagram,0,3,0,NO,REST,NO,BEING OUTSIDE,YES,8,11
125,Outside Delhi-NCR,15,4,Poor,Smartphone,4,2,6,1,Instagram,1,4,2,NO,MUSIC,YES,SOCIALIZE,YES,8,10
126,Delhi-NCR,20,4,Poor,Tablet,3,1,8,2,Whatsapp,3,4,0,NO,MUSIC,NO,BEING OUTSIDE,NO,7,14
127,Outside Delhi-NCR,25,1,Poor,Smartphone,3,0,6,1,Instagram,1,1,1,YES,READING,NO,BEING OUTSIDE,YES,4,8
128,Delhi-NCR,20,0,Poor,Smartphone,4,2,7,0,Instagram,0,4,2,YES,MUSIC,YES,SOCIALIZE,YES,4,9
129,Delhi-NCR,20,3,Poor,Laptop/Desktop,1,0,6,2,Others,0,2,0,NO,OTHERS,NO,BEING OUTSIDE,YES,4,8
130,Delhi-NCR,25,4,Poor,Smartphone,1,0,6,1,Whatsapp,0,2,1,NO,INDOOR ACTIVITIES,NO,TRAVELLING,NO,5,8
131,Delhi-NCR,25,3,Poor,Smartphone,2,0,7,2,Others,0,3,0,YES,READING,NO,SCHOOL/WORK,YES,5,9
132,Delhi-NCR,20,4,Poor,Laptop/Desktop,2,0,7,2,Others,3,3,0,NO,INDOOR ACTIVITIES,NO,SOCIALIZE,NO,6,12
133,Outside Delhi-NCR,20,4,Poor,Smartphone,3,0,8,4,Others,2,3,0,YES,REST,NO,SCHOOL/WORK,YES,7,14
134,Outside Delhi-NCR,25,0,Poor,Laptop/Desktop,1,0,9,4,Others,0,4,0,NO,INDOOR ACTIVITIES,NO,TRAVELLING,YES,2,13
135,Outside Delhi-NCR,25,4,Poor,Smartphone,3,1,8,1,Youtube,1,3,2,YES,ONLINE ACTIVITIES,NO,SOCIALIZE,YES,7,11
136,Delhi-NCR,25,1,Poor,Smartphone,4,1,7,2,Others,0,2,0,YES,ONLINE ACTIVITIES,NO,BEING OUTSIDE,NO,5,10
137,Outside Delhi-NCR,25,0,Poor,Smartphone,1,0,7,5,Whatsapp,0,4,0,NO,MUSIC,NO,SCHOOL/WORK,YES,2,12
138,Outside Delhi-NCR,20,0,Poor,Smartphone,3,2,9,1,Instagram,0,3,0,NO,ONLINE ACTIVITIES,NO,SCHOOL/WORK,NO,3,12
139,Outside Delhi-NCR,15,4,Poor,Smartphone,2,3,7,1,Instagram,2,4,0,NO,INDOOR ACTIVITIES,NO,SOCIALIZE,YES,6,13
140,Outside Delhi-NCR,20,0,Poor,Smartphone,3,2,8,2,Whatsapp,1,3,2,YES,MUSIC,YES,SCHOOL/WORK,YES,3,13
141,Outside Delhi-NCR,20,0,Poor,Smartphone,1,0,8,0,Whatsapp,1,3,1,YES,READING,NO,BEING OUTSIDE,YES,2,9
142,Outside Delhi-NCR,25,1,Poor,Smartphone,3,1,7,1,Whatsapp,0,3,2,NO,REST,NO,SCHOOL/WORK,YES,4,9
143,Delhi-NCR,20,4,Poor,Laptop/Desktop,4,0,9,2,Others,3,3,1,NO,REST,YES,BEING OUTSIDE,YES,8,14
144,Outside Delhi-NCR,25,0,Poor,Laptop/Desktop,3,1,9,0,Others,2,4,1,NO,ONLINE ACTIVITIES,NO,BEING OUTSIDE,YES,3,12
145,Outside Delhi-NCR,25,1,Poor,Laptop/Desktop,1,2,7,2,Youtube,1,4,0,NO,MUSIC,NO,SOCIALIZE,YES,2,12
146,Outside Delhi-NCR,20,1,Poor,Smartphone,2,1,8,3,Whatsapp,0,3,2,NO,ONLINE ACTIVITIES,YES,SOCIALIZE,NO,3,12
147,Outside Delhi-NCR,25,3,Poor,Smartphone,0,3,6,2,Instagram,0,3,2,NO,INDOOR ACTIVITIES,YES,SCHOOL/WORK,YES,3,11
148,Outside Delhi-NCR,20,2,Poor,Smartphone,2,1,8,2,Instagram,2,3,0,YES,MUSIC,YES,BEING OUTSIDE,YES,4,13
149,Outside Delhi-NCR,25,1,Poor,Smartphone,4,0,7,1,Others,0,3,2,NO,SOCIALIZE,YES,SOCIALIZE,YES,5,8
150,Outside Delhi-NCR,20,3,Poor,Laptop/Desktop,1,1,6,2,Others,1,2,1,YES,ONLINE ACTIVITIES,NO,SOCIALIZE,NO,4,10
151,Outside Delhi-NCR,15,4,Poor,Smartphone,1,0,9,1,Whatsapp,3,3,2,NO,READING,NO,SOCIALIZE,YES,5,13
152,Delhi-NCR,25,1,Poor,Smartphone,4,1,9,1,Instagram,0,3,2,YES,MUSIC,NO,SCHOOL/WORK,NO,5,11
153,Outside Delhi-NCR,25,2,Poor,Laptop/Desktop,4,0,8,3,Instagram,1,3,0,NO,MUSIC,YES,SCHOOL/WORK,YES,6,12
154,Delhi-NCR,20,2,Poor,Smartphone,4,1,8,2,Instagram,0,3,0,NO,SOCIALIZE,YES,SCHOOL/WORK,YES,6,11
155,Outside Delhi-NCR,25,1,Poor,Smartphone,0,1,6,2,Whatsapp,0,2,1,NO,INDOOR ACTIVITIES,NO,SCHOOL/WORK,YES,2,9
156,Outside Delhi-NCR,15,4,Poor,Smartphone,4,0,7,3,Instagram,2,3,2,NO,ONLINE ACTIVITIES,NO,SCHOOL/WORK,YES,8,12
157,Delhi-NCR,25,3,Poor,Smartphone,4,3,7,3,Youtube,0,3,1,YES,SOCIALIZE,NO,SCHOOL/WORK,NO,7,13
158,Outside Delhi-NCR,30,3,Poor,Laptop/Desktop,3,1,8,1,Whatsapp,1,3,2,NO,SOCIALIZE,YES,TRAVELLING,YES,6,11
159,Outside Delhi-NCR,25,3,Poor,Laptop/Desktop,0,3,8,5,Others,0,3,2,NO,SOCIALIZE,NO,SOCIALIZE,YES,3,14
160,Outside Delhi-NCR,30,1,Poor,Laptop/Desktop,1,0,6,1,Others,0,2,2,YES,ONLINE ACTIVITIES,NO,BEING OUTSIDE,NO,2,8
161,Outside Delhi-NCR,20,3,Poor,Laptop/Desktop,3,1,7,1,Instagram,0,3,2,NO,MUSIC,YES,SCHOOL/WORK,YES,6,9
162,Outside Delhi-NCR,20,3,Poor,Laptop/Desktop,4,0,7,2,Whatsapp,0,4,0,NO,REST,YES,SCHOOL/WORK,NO,7,9
163,Outside Delhi-NCR,25,2,Poor,Laptop/Desktop,3,1,8,4,Others,1,2,0,NO,ONLINE ACTIVITIES,NO,BEING OUTSIDE,NO,5,14
164,Outside Delhi-NCR,20,0,Poor,Smartphone,3,1,8,1,Instagram,0,2,2,NO,REST,YES,SCHOOL/WORK,YES,3,10
165,Delhi-NCR,30,4,Poor,Laptop/Desktop,4,1,8,1,Youtube,0,2,2,NO,REST,YES,BEING OUTSIDE,YES,8,10
166,Delhi-NCR,25,4,Poor,Laptop/Desktop,4,2,7,2,Youtube,0,3,2,NO,READING,YES,TRAVELLING,YES,8,11
167,Delhi-NCR,25,0,Poor,Laptop/Desktop,0,2,9,5,Others,0,4,0,NO,ONLINE ACTIVITIES,NO,TRAVELLING,NO,2,14
168,Delhi-NCR,20,4,Poor,Tablet,4,1,7,1,Whatsapp,0,3,2,NO,READING,YES,ALL,YES,8,9
169,Delhi-NCR,20,4,Poor,Laptop/Desktop,1,0,7,2,Others,0,2,2,NO,INDOOR ACTIVITIES,YES,SOCIALIZE,NO,5,9
170,Delhi-NCR,30,3,Poor,Smartphone,4,1,9,0,Whatsapp,1,2,0,NO,REST,YES,SCHOOL/WORK,YES,7,11
171,Delhi-NCR,20,4,Poor,Smartphone,4,0,7,2,Youtube,0,3,0,NO,ONLINE ACTIVITIES,NO,SOCIALIZE,YES,8,9
172,Outside Delhi-NCR,20,3,Poor,Laptop/Desktop,4,1,7,2,Others,2,3,2,NO,SOCIALIZE,YES,SCHOOL/WORK,NO,7,12
173,Delhi-NCR,20,4,Poor,Smartphone,1,2,7,2,Instagram,0,4,0,NO,EXERCISE,YES,TRAVELLING,NO,5,11
174,Delhi-NCR,20,4,Poor,Laptop/Desktop,4,1,7,1,Whatsapp,1,2,2,NO,MUSIC,NO,BEING OUTSIDE,NO,8,10
175,Outside Delhi-NCR,20,4,Poor,Tablet,2,1,7,1,Whatsapp,1,4,2,NO,READING,NO,SOCIALIZE,YES,6,10
