year,price,transmission,mileage,fuelType,tax,mpg,engineSize
2017,10998,2,16310,5,125,50.4,1
2017,17698,2,14557,5,145,41.5,2
2017,11498,3,30917,5,125,51.4,1
2017,12798,2,22153,1,145,74.3,1.5
2015,8698,2,31743,5,30,55.4,1
2019,19495,2,13673,1,145,47.9,2
2018,9995,2,25776,5,145,65.7,1
2016,10995,2,30923,1,0,74.3,1.5
2017,13998,2,24504,1,150,64.2,1.5
2017,11998,2,6568,5,145,62.8,1
2016,8998,2,42960,1,30,61.4,1.5
2018,16698,2,5117,1,145,54.3,1.5
2016,8998,2,31736,5,125,53.3,1
2015,7998,2,19212,5,0,65.7,1
2018,12495,2,12426,5,145,65.7,1
2017,7995,2,12872,5,145,57.7,1.2
2020,21995,2,4111,5,145,50.4,1
2018,16995,2,34690,1,145,60.1,2
2018,11995,2,32168,5,145,65.7,1
2019,19995,2,11312,1,145,47.9,2
2017,8995,2,31559,5,145,65.7,1
2017,8295,2,23000,5,145,57.7,1.2
2018,14698,2,6442,5,145,54.3,1
2016,10498,3,29590,5,0,57.7,1
2018,14495,2,17030,5,145,57.7,1
2016,8995,2,22493,5,20,60.1,1
2016,15995,2,29600,1,20,67.3,2
2016,10995,3,26500,1,125,58.9,2
2017,19995,2,14000,1,200,44.8,2
2013,8295,2,34783,1,30,61.4,1.6
2015,7995,2,56655,1,20,67.3,1.6
2019,19995,2,16000,1,150,47.9,2
2015,9995,2,30753,1,0,78.5,1.5
2018,13495,2,1030,5,145,47.9,1
2017,12995,2,7817,5,145,55.4,1
2018,12995,2,9781,5,145,60.1,1
2018,12998,2,17241,5,145,54.3,1
2015,10298,2,28309,1,125,58.9,1.6
2017,10498,2,50599,5,0,65.7,1
2018,11298,3,37880,1,150,74.3,1.5
2016,10698,2,56888,1,125,60.1,2
2018,15995,2,10500,5,145,60.1,1
2014,6995,3,50800,5,160,44.1,1.6
2019,13950,2,6700,5,145,58.9,1
2017,10650,2,31800,5,150,65.7,1
2016,7995,2,20700,5,125,54.3,1.2
2016,11495,2,29900,1,0,74.3,1.5
2018,16995,2,32858,1,145,54.3,2
2018,11995,2,31593,5,145,65.7,1
2015,10995,2,13791,5,125,51.4,1.5
2019,20495,2,12034,1,145,47.9,2
2018,19995,2,10923,1,145,67.3,2
2019,19995,2,10171,1,145,38.2,2
2016,10995,2,30923,1,0,74.3,1.5
2019,18995,2,2291,5,145,52.3,1
2017,11995,2,23469,5,125,51.4,1.5
2017,16998,2,13626,1,125,60.1,2
2016,7398,2,35180,5,125,54.3,1.2
2019,11498,2,17708,5,145,58.9,1
2019,13998,2,9957,5,145,58.9,1
2019,16698,2,4542,5,145,60.1,1
2016,9998,2,38358,1,0,78.5,1.5
2015,12998,2,25878,1,20,67.3,2
2016,9998,3,18325,5,160,44.8,1.5
2017,12498,2,9338,5,145,60.1,1
2018,14998,2,7133,1,145,58.9,1.5
2017,10498,2,42002,5,20,60.1,1
2017,16995,1,3700,5,145,38.2,1.5
2019,15495,2,5600,5,145,60.1,1
2015,9495,2,17288,5,0,65.7,1
2013,5995,2,42996,1,20,70.6,1.6
2014,7498,2,47566,5,30,56.5,1
2017,11798,2,4262,5,0,65.7,1
2017,10998,2,10125,5,145,65.7,1
2017,14998,1,17028,5,150,46.3,1.5
2017,8998,2,12753,5,145,54.3,1.2
2016,13998,2,24895,1,20,67.3,2
2017,17998,2,9066,5,145,41.5,2
2019,18998,2,3292,5,145,40.3,1.5
2013,9198,3,48130,1,200,45.6,2
2015,14498,2,27513,1,145,54.3,2
2017,14998,2,32511,5,150,41.5,2
2016,8498,2,21888,5,125,54.3,1.2
2019,13995,2,11130,5,145,58.9,1
2017,18498,2,14441,5,145,41.5,2
2018,13998,2,13401,5,145,60.1,1
2019,12798,2,10567,5,145,58.9,1
2019,14698,2,7872,5,145,58.9,1
2017,7698,2,10641,5,30,57.7,1.2
2018,12498,2,10222,5,145,54.3,1
2017,9998,2,28519,5,20,62.8,1
2017,13998,2,51772,1,125,60.1,2
2016,9500,1,7350,5,0,57.7,1
2018,8195,2,12231,5,145,47.9,1.2
2019,21498,1,5354,5,150,31,1.5
2017,17998,2,19525,5,145,41.5,2
2018,14498,2,11922,5,145,54.3,1
2016,9998,2,16984,1,20,68.9,1.5
2016,7998,2,16070,5,125,54.3,1.2
2018,10998,2,26648,5,145,61.4,1
2017,10998,2,19140,5,145,62.8,1
2016,9998,2,26399,1,0,74.3,1.5
2013,5498,2,53545,5,30,54.3,1.2
2017,9298,2,25491,5,0,65.7,1
2014,7298,2,31359,5,0,65.7,1
2016,8498,2,51656,1,0,74.3,1.5
2016,17698,3,11221,1,145,54.3,2
2017,14498,2,23356,1,145,60.1,2
2018,12898,2,15267,5,145,53.3,1
2017,7998,2,41294,1,0,74.4,1.5
2018,12198,2,7993,5,145,49.6,1
2017,9698,2,30207,5,145,53.3,1
2016,8798,2,19815,5,0,65.7,1
2015,14298,2,43717,1,145,54.3,2
2018,15798,2,4534,5,145,58.9,1
2017,10298,2,9148,5,145,65.7,1
2014,4898,2,22609,5,30,57.7,1.2
2016,10298,2,15510,1,0,74.3,1.5
2017,9998,2,20347,5,0,65.7,1
2018,16698,2,3044,5,145,39.2,1.5
2017,8998,2,5233,5,125,54.3,1.2
2015,8998,2,28359,1,125,60.1,1.6
2017,12498,3,12244,5,125,51.4,1
2018,12498,2,17918,5,145,65.7,1
2020,34498,3,4623,1,145,43.5,2
2017,9298,2,16770,5,145,44.8,1.5
2017,10900,2,25459,5,145,60.1,1
2017,9998,2,23913,5,125,53.3,1
2018,12998,2,9901,5,150,65.7,1
2016,10998,3,15006,5,125,51.4,1
2017,15500,2,19593,5,145,41.5,2
2017,16200,3,23027,1,145,58.9,1.5
2016,10500,3,13580,1,20,64.2,1.5
2015,13200,2,32000,1,20,67.3,2
2019,18698,2,15365,5,145,60.1,1
2019,16998,2,7924,1,145,80.7,1.5
2017,9998,2,10721,5,145,65.7,1
2017,9498,2,25939,5,145,53.3,1
2019,17498,2,3265,5,145,58.9,1
2019,15998,1,11045,5,145,41.5,1
2020,17998,2,250,5,145,51.4,1
2013,5698,2,44901,5,145,47.1,1.4
2017,9998,2,22001,5,20,60.1,1
2020,17298,2,4563,5,145,54.3,1
2019,16998,2,12236,5,145,55.4,1
2019,23998,2,7584,1,145,39.2,2
2013,6498,2,41599,5,0,65.7,1
2017,12498,2,10373,5,145,54.3,1
2013,4998,2,79300,5,0,65.7,1
2017,11498,2,12982,5,30,55.4,1
2017,11298,2,24386,1,0,74.3,1.5
2017,9298,2,18209,1,30,64.2,1.5
2018,12998,2,9796,5,145,54.3,1
2018,14498,2,9428,5,145,62.8,1
2016,18498,2,30528,1,125,56.5,2
2016,8498,2,41772,5,30,55.4,1
2015,8298,2,15673,5,0,65.7,1
2015,8498,2,47219,1,0,74.3,1.5
2018,12998,2,16081,5,150,57.7,1
2019,16998,2,10476,5,145,60.1,1
2016,9998,2,16647,5,0,65.7,1
2017,13698,2,41457,1,150,54.3,2
2017,13998,3,4735,5,125,51.4,1
2016,9498,2,24045,5,125,53.3,1
2019,15984,2,6500,5,145,51.4,1
2017,8489,2,60190,5,160,44.8,1.5
2017,9995,2,27000,1,0,78.5,1.5
2017,8498,2,32538,5,0,65.7,1
2016,13498,2,36345,1,150,54.3,2
2016,8998,2,43623,5,20,61.4,1
2013,9998,3,58500,1,200,45.6,2
2017,17498,2,15729,1,145,54.3,2
2018,9998,2,7892,5,145,65.7,1
2017,11990,2,24725,5,145,47.9,1.6
2019,16899,2,7000,1,145,80.7,1.5
2019,15984,2,3500,5,145,51.4,1
2019,15984,2,4500,5,145,51.4,1
2019,15984,2,4000,5,145,51.4,1
2019,13998,2,4889,1,145,68.9,1.5
2017,17994,2,20633,1,150,54.3,2
2016,17489,3,47937,1,165,51.4,2
2018,19899,3,28500,1,145,54.3,2
2014,4699,2,85000,5,30,54.3,1.2
2017,9949,2,23000,5,125,53.3,1
2017,11498,2,9995,5,145,55.4,1
2017,10898,2,12626,5,30,55.4,1
2018,12998,2,7320,5,145,55.4,1
2019,13498,2,23394,5,145,48.7,1
2017,9998,2,12932,1,20,68.9,1.5
2019,18998,1,22246,1,150,64.2,2
2019,11798,2,5530,5,150,48.7,1.1
2019,11798,2,4590,5,150,48.7,1.1
2017,8498,2,28479,5,0,65.7,1
2013,8998,2,67895,1,200,47.9,2
2019,14799,2,6249,5,145,60.1,1
2019,14799,2,8560,5,145,60.1,1
2020,42489,1,3500,5,145,22.1,5
2017,17498,2,9940,5,145,45.6,1.5
2019,16498,2,4930,5,145,60.1,1
2018,19698,2,12011,5,145,41.5,2
2016,8498,2,23053,5,125,54.3,1.2
2016,16998,2,17589,5,200,41.5,2
2019,14998,2,7000,5,145,58.9,1
2019,19999,2,3500,1,145,61.4,1.5
2019,20999,1,5500,1,145,47.9,2
2019,14998,2,7000,5,145,60.1,1
2019,14998,2,7000,5,145,58.9,1
2019,13998,2,5000,1,145,68.9,1.5
2017,13898,2,33026,1,145,60.1,2
2016,11498,2,8560,5,0,65.7,1
2018,19698,2,16548,5,145,41.5,2
2017,10498,2,49485,1,0,74.3,1.5
2017,17498,3,14569,1,145,53.3,2
2015,12498,2,60151,1,145,54.3,2
2017,11498,2,9148,5,145,61.4,1
2017,10998,2,13548,5,0,65.7,1
2019,22998,1,7337,3,140,47.1,2
2015,8498,2,6649,5,125,54.3,1.2
2017,11998,2,7690,5,150,60.1,1
2019,11898,2,3396,5,150,48.7,1.1
2019,11498,2,15766,5,145,58.9,1
2019,13298,2,7349,5,145,58.9,1
2016,9698,2,36860,1,20,68.9,1.5
2018,10498,2,59498,1,145,68.9,1.5
2015,10998,2,17367,1,125,60.1,2
2017,9598,2,14403,5,145,64.2,1.1
2019,16998,2,20647,5,145,60.1,1
2019,13498,2,13351,5,145,58.9,1
2016,6998,2,34804,5,125,54.3,1.2
2017,15498,2,38113,1,125,60.1,2
2018,9949,2,27399,5,145,64.2,1.1
2018,12998,2,2455,1,145,68.9,1.5
2016,20799,1,52000,1,200,47.9,2
2020,38489,1,3500,5,145,30.7,2.3
2018,9489,2,35417,5,145,64.2,1.1
2019,13949,3,11982,5,145,48.7,1
2018,10990,2,28138,5,145,56.5,1
2017,13489,2,34805,1,145,54.3,2
2015,7994,2,64612,1,20,67.3,1.6
2018,11489,2,19665,5,145,60.1,1
2018,15699,2,17500,1,150,64.2,1.5
2020,19998,2,4000,1,145,74.3,1.5
2020,19489,2,5000,1,145,74.3,1.5
2019,14998,2,7000,5,145,58.9,1
2016,9199,2,26445,1,30,64.2,1.5
2017,10489,2,26445,1,20,68.9,1.5
2018,11489,2,2922,1,145,64.2,1.5
2018,29998,1,3000,5,145,28.8,2.3
2018,31498,1,6250,5,145,23.5,5
2018,11999,2,6691,5,145,61.4,1
2018,15990,1,9486,1,145,56.6,1.5
2019,16998,1,8703,5,145,40.9,1.5
2019,15489,2,5636,1,145,68.9,1.5
2019,22489,2,8224,1,145,56.5,2
2019,22489,2,4000,1,145,56.5,2
2015,5998,2,55898,1,0,78.5,1.5
2017,10998,2,28001,5,145,60.1,1
2014,11498,2,36052,1,160,47.9,2
2016,24999,3,42086,5,570,23.5,5
2017,15298,2,34673,1,125,60.1,2
2018,19498,2,22068,1,145,48.7,2
2019,16998,2,19936,5,145,60.1,1
2017,13998,2,4856,1,145,61.4,1.5
2017,11298,3,1397,5,165,44.1,1.6
2017,13398,1,21649,5,145,46.3,1.5
2017,17798,2,10345,5,145,41.5,2
2018,14998,2,14960,1,145,64.2,1.5
2015,13998,2,35689,5,205,41.5,2
2017,9189,2,31998,5,145,44.8,1.5
2018,10399,2,7200,5,145,65.7,1
2017,23899,1,27146,1,145,47.9,2
2013,5330,2,66937,5,30,54.3,1.2
2019,15985,2,5099,5,145,51.4,1
2015,7485,2,11092,5,125,54.3,1.2
2019,21999,1,6000,5,145,29.1,1.5
2017,10850,2,23634,5,150,65.7,1
2019,23250,3,9931,1,145,38.7,2
2016,7999,2,22633,5,0,65.7,1
2018,7999,2,9355,5,145,57.7,1.2
2013,7999,2,78170,1,200,47.9,2
2016,9699,2,13480,5,20,60.1,1
2019,39998,1,5000,5,145,22.6,5
2017,8500,2,15060,5,125,54.3,1.2
2016,9998,2,18912,5,0,65.7,1
2019,15995,2,6992,5,145,60.1,1
2017,11495,2,17766,5,145,65.7,1
2019,14698,2,8725,5,145,58.9,1
2016,9998,2,6820,5,0,65.7,1
2013,9498,2,29326,1,200,47.9,2
2017,10698,3,11235,5,0,57.7,1
2016,13499,2,38687,1,145,54.3,2
2017,15999,2,15005,1,145,54.3,2
2017,17299,2,14224,1,145,54.3,2
2019,14198,2,20205,5,150,58.9,1
2016,10898,2,13093,5,125,52.3,1
2019,17298,3,1434,5,150,48.7,1
2013,5998,3,44582,5,165,44.1,1.6
2015,9998,2,55621,1,30,64.2,2
2017,6998,2,21203,5,30,57.7,1.2
2017,16698,2,24498,1,145,67.3,2
2018,17298,2,3124,5,145,60.1,1
2017,15498,2,31073,1,125,60.1,2
2017,14298,2,6345,1,145,54.3,2
2016,9998,2,26138,1,20,68.9,1.5
2019,22998,2,593,1,145,47.9,2
2018,11598,2,11654,5,145,61.4,1
2018,10498,2,17532,5,145,65.7,1
2017,8698,2,36124,5,160,44.8,1.5
2017,17498,2,13558,5,200,41.5,2
2018,12499,2,13000,1,145,67.3,1.5
2018,9250,2,7812,5,145,47.9,1.2
2017,16250,2,28113,1,145,67.3,2
2017,9999,2,24130,5,150,52.3,1
2017,10999,2,23973,5,150,60.1,1
2019,18494,2,11858,1,145,38.2,2
2019,13489,3,26799,5,145,48.7,1
2014,6995,2,35084,5,0,65.7,1
2018,11995,2,12080,5,150,65.7,1
2017,10498,2,9621,5,145,65.7,1
2017,11300,2,13300,5,145,60.1,1
2018,11800,2,14024,5,145,62.8,1
2017,10800,2,17668,5,145,60.1,1
2016,8300,2,43121,5,0,65.7,1
2018,18499,2,14682,5,145,41.5,2
2014,6800,2,53500,5,30,56.5,1
2018,17000,2,15513,5,145,45.6,1.5
2017,8998,2,16701,1,0,78.5,1.5
2014,5698,2,51892,5,30,54.3,1.2
2017,8998,2,20648,5,160,44.8,1.5
2016,14998,2,38206,1,145,54.3,2
2017,18500,2,13692,1,145,54.3,2
2019,19298,2,12287,5,145,39.2,1.5
2014,10798,2,49989,1,160,47.9,2
2019,15998,2,12699,5,145,60.1,1
2015,7298,2,36700,5,0,65.7,1
2017,10298,2,25013,5,150,53.3,1
2017,10698,2,16505,5,0,65.7,1
2019,13998,2,5887,5,145,58.9,1
2013,8298,2,63508,1,145,53.3,2
2016,8998,2,36087,1,0,74.3,1.5
2016,11298,2,11117,5,30,55.4,1
2016,10498,2,17197,1,30,64.2,1.5
2013,8995,2,54000,1,145,53.3,2
2015,7895,2,27541,5,0,65.7,1
2018,18390,2,14682,5,145,41.5,2
2018,7795,2,9662,5,145,57.7,1.2
2017,10795,2,22727,5,20,60.1,1
2019,18298,1,6269,1,145,74.3,1.5
2015,7698,2,9708,1,20,70.6,1.6
2017,17698,2,18075,1,145,54.3,2
2017,16998,2,24885,1,145,54.3,2
2018,12698,2,3074,5,145,55.4,1
2016,10698,2,22141,1,0,78.5,1.5
2013,9998,3,43938,1,205,45.6,2
2017,14498,2,6038,1,150,54.3,2
2017,8998,2,20277,5,0,65.7,1
2017,11998,2,15297,1,20,68.9,1.5
2019,14000,2,11426,5,150,58.9,1
2019,16250,2,2951,5,150,52.3,1
2017,9700,2,28186,5,0,65.7,1
2013,9998,2,38629,5,200,42.8,1.6
2017,10998,2,14161,1,30,64.2,1.5
2016,15498,2,27716,1,125,56.5,2
2013,5489,2,41144,1,20,68.9,1.5
2019,18999,2,9695,1,145,54.3,1.5
2016,8449,2,79125,5,145,47.9,1.6
2016,8699,2,46040,1,30,61.4,1.6
2017,10489,2,37972,1,20,68.9,1.5
2017,12489,2,36394,1,145,64.2,1.5
2017,13698,2,78636,1,145,64.2,1.5
2018,18498,2,21167,1,145,67.3,2
2015,7298,2,36140,1,0,74.4,1.5
2017,9998,2,13861,5,145,60.1,1
2017,17498,2,22439,1,145,54.3,2
2017,18999,2,42500,1,125,51.4,2
2017,9489,2,29500,5,145,52.3,1
2017,20994,1,41000,1,145,48.7,2
2018,11998,2,6484,1,145,68.9,1.5
2014,6250,2,39223,5,30,54.3,1.2
2014,5950,2,64327,1,0,76.4,1.5
2017,10900,2,13338,1,0,74.3,1.5
2017,11200,2,15121,5,20,58.9,1
2017,9250,2,38541,5,20,60.1,1
2018,10300,2,9542,5,145,65.7,1
2019,13000,2,3629,5,145,49.6,1
2016,7000,2,82616,1,0,74.3,1.5
2015,9200,2,21261,5,0,65.7,1
2019,24995,2,10023,1,150,54.3,2
2016,8298,2,22919,5,0,65.7,1
2017,9298,2,41697,1,20,68.9,1.5
2019,16698,2,18697,5,145,60.1,1
2019,23698,2,5003,1,145,70.6,2
2019,20398,2,6233,1,145,74.3,1.5
2016,9698,2,19884,5,0,65.7,1
2018,17998,2,13734,5,145,39.2,1.5
2019,13698,2,12232,5,145,58.9,1
2016,9998,2,21243,5,20,60.1,1
2016,7298,2,31107,5,125,54.3,1.2
2013,5698,2,64292,1,20,67.3,1.6
2014,8998,2,68055,1,150,53.3,2
2018,12998,2,23200,5,150,65.7,1
2016,12498,2,25800,1,30,64.2,2
2019,20990,2,5100,1,145,31.7,2
2019,29999,2,100,1,145,30.1,2
2019,15489,2,5636,1,145,68.9,1.5
2019,15998,2,4500,1,145,80.7,1.5
2019,19999,2,3500,1,145,61.4,1.5
2016,8489,2,61379,1,0,74.3,1.5
2018,9490,2,3012,5,145,55.4,1.1
2017,12490,2,11292,5,125,51.4,1.5
2017,6490,2,19285,5,150,57.7,1.2
2016,14790,2,33352,5,205,41.5,2
2017,12498,2,17998,1,0,74.3,1.5
2018,18998,2,11578,1,150,67.3,2
2015,9598,2,29577,1,20,67.3,1.6
2017,10498,2,27704,1,145,74.3,1.5
2015,7998,2,19001,5,125,54.3,1.2
2016,9998,2,39460,1,30,64.2,1.5
2019,16250,2,13325,1,145,74.3,1.5
2019,18450,1,14464,1,145,54.3,1.5
2018,9950,2,19223,5,145,61.4,1
2019,9950,2,906,5,145,43.5,1.2
2019,9950,2,2520,5,145,43.5,1.2
2019,9950,2,1196,5,145,43.5,1.2
2015,8498,2,19429,5,0,65.7,1
2014,5998,2,69078,5,30,57.7,1
2017,9998,2,37560,5,145,53.3,1
2016,9998,2,3155,5,20,61.4,1
2019,16998,2,14206,5,150,60.1,1
2017,16998,1,30393,1,145,61.4,2
2014,11198,2,41711,1,145,53.3,2
2019,14498,2,14316,1,150,80.7,1.5
2016,7998,2,21456,5,125,54.3,1.2
2016,9998,2,20682,5,0,65.7,1
2019,17998,2,12027,1,145,74.3,1.5
2014,6498,2,36727,1,20,70.6,1.6
2019,19998,1,8757,5,145,28.8,1.5
2016,8698,2,28670,1,30,64.2,1.5
2017,10698,2,21041,1,0,78.5,1.5
2018,13698,2,4223,5,145,54.3,1
2019,13498,2,9007,5,145,58.9,1
2016,8498,2,11457,5,125,54.3,1.2
2014,6298,2,39944,5,30,54.3,1.2
2019,11698,2,3578,5,150,48.7,1.1
2017,13998,2,21167,1,150,54.3,2
2016,8498,3,31976,5,145,47.9,1.6
2018,13998,2,10149,5,145,57.7,1
2016,14498,2,50364,1,125,56.5,2
2018,11950,2,16678,5,145,58.9,1
2019,11395,2,1394,5,145,55.4,1.1
2018,15990,1,9486,1,145,56.6,1.5
2018,10990,2,28138,5,145,56.5,1
2019,18489,2,10351,1,145,54.3,1.5
2017,9489,2,29500,5,145,52.3,1
2017,9795,2,4162,1,0,78.5,1.5
2017,15995,2,23237,1,125,60.1,2
2019,18495,2,7959,1,145,38.2,2
2018,11995,2,10553,1,145,74.3,1.5
2018,9998,2,23112,5,145,65.7,1
2019,14998,2,7953,5,145,60.1,1
2015,8000,2,14422,5,125,54.3,1.2
2017,18498,3,21183,1,145,61.4,2
2016,7998,2,21446,5,125,54.3,1.2
2019,12498,2,7941,5,145,58.9,1
2016,8498,2,45256,5,20,60.1,1
2013,5298,2,54545,5,0,65.7,1
2017,9998,2,28761,5,20,60.1,1
2014,7498,2,31343,5,30,55.4,1
2017,15998,2,24896,1,125,60.1,2
2017,16998,2,45854,5,150,41.5,2
2017,8698,2,18775,5,125,54.3,1.2
2019,15998,2,10386,5,145,49.6,1
2017,8998,2,20507,5,125,54.3,1.2
2017,9998,3,32384,5,125,51.4,1
2019,10698,2,10786,5,145,55.4,1.1
2020,20450,2,1196,1,150,38.2,2
2017,11495,2,39254,1,150,68.9,1.5
2017,9750,2,30157,1,20,68.9,1.5
2019,18495,2,11859,1,145,54.3,1.5
2019,14950,2,9693,1,145,57.7,1.5
2018,17295,2,11723,1,145,64.2,1.5
2019,16250,2,11027,1,145,74.3,1.5
2015,4998,2,28322,5,30,57.7,1.2
2017,8698,2,23833,5,0,65.7,1
2017,11298,2,13775,5,145,65.7,1
2017,10898,2,14050,5,145,60.1,1
2014,11698,2,34088,1,160,47.9,2
2014,5998,2,52565,5,30,55.4,1
2017,9998,3,16517,5,145,47.9,1.6
2019,19998,2,4605,1,145,61.4,1.5
2019,14998,2,12078,5,145,58.9,1
2014,6998,2,45460,1,125,60.1,1.6
2016,10498,3,24963,5,160,44.8,1.5
2015,12298,2,51103,5,240,39.2,2
2015,9498,2,63863,1,145,54.3,2
2016,11990,3,55145,1,145,52.3,2
2017,7490,2,28842,5,0,65.7,1
2019,13698,2,11060,5,145,58.9,1
2017,10498,2,39539,5,20,60.1,1
2017,10798,3,3652,5,165,44.8,1.5
2017,15998,2,29667,1,125,60.1,2
2016,8998,2,49080,1,0,74.3,1.5
2015,9298,2,61787,1,125,60.1,2
2017,10698,2,29886,1,30,64.2,1.5
2017,17498,3,31098,1,150,54.3,2
2017,13998,2,15860,1,150,54.3,2
2019,14998,2,8263,5,145,60.1,1
2015,8298,2,13118,5,0,65.7,1
2016,9698,2,19256,5,0,65.7,1
2017,7798,2,11085,5,125,54.3,1.2
2018,13498,2,10150,5,145,58.9,1
2016,9690,2,46176,1,0,74.3,1.5
2017,16498,2,18506,1,20,67.3,2
2017,11495,2,11476,5,145,65.7,1
2015,8000,2,29681,5,160,44.8,1.5
2015,11400,3,51581,1,125,57.7,2
2017,8250,2,32994,5,145,64.2,1.1
2019,10998,2,12320,5,145,58.9,1
2018,12998,2,3956,5,145,53.3,1
2014,6698,2,39002,5,0,65.7,1
2018,15998,2,10087,1,145,64.2,1.5
2014,6498,2,21284,5,30,54.3,1.2
2017,12998,2,17307,1,145,74.3,1.5
2017,18998,2,10222,5,145,41.5,2
2015,8498,2,10801,5,125,54.3,1.2
2015,6998,2,42477,5,30,54.3,1.2
2013,9498,3,64718,1,205,45.6,2
2019,11698,2,3484,5,150,48.7,1.1
2019,19300,2,2958,1,145,70.6,2
2017,16890,2,23365,5,145,41.5,2
2016,9420,2,34214,1,0,74.3,1.5
2019,15390,2,5341,5,145,60.1,1
2019,15370,2,6736,5,145,60.1,1
2015,9230,2,27412,1,0,74.3,1.5
2017,6990,2,11203,5,145,57.7,1.2
